2020/9/1 星期二 12:02:41	正在初始化...已完成
2020/9/1 星期二 13:03:02	[滑块]已打开浏览器，请在浏览器中操作滑块！

2020/9/1 星期二 13:03:30	结束车票查询

2020/9/1 星期二 13:03:31	开始查询2020-09-30车次，间隔：1000

2020/9/1 星期二 13:03:31	开始预订G6325车次的车票...

2020/9/1 星期二 13:03:31	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 13:03:31	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 13:03:32	[任务2]申请订单成功,开始获取令牌...

2020/9/1 星期二 13:03:32	[任务2]当前需要滑块验证码，正在执行...

2020/9/1 星期二 13:03:32	[滑块]已打开浏览器，请在浏览器中操作滑块！

2020/9/1 星期二 13:03:43	[任务2]滑块验证码效验完成，提交订单...

2020/9/1 星期二 13:03:43	[任务3]令牌获取完成,开始效验订单...

2020/9/1 星期二 13:03:44	[任务4]目前排队人数已经超过余票张数

2020/9/1 星期二 13:03:44	[小黑屋]该数据为缓存,将G6325车次(O)放入小黑屋300秒...

2020/9/1 星期二 13:03:44	开始查询2020-09-30车次，间隔：1000

2020/9/1 星期二 13:03:44	开始预订G6309车次的车票...

2020/9/1 星期二 13:03:44	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 13:03:44	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 13:03:44	[任务2]申请订单成功,开始获取令牌...

2020/9/1 星期二 13:03:46	[任务2]当前需要滑块验证码，正在执行...

2020/9/1 星期二 13:03:46	[滑块]已打开浏览器，请在浏览器中操作滑块！

2020/9/1 星期二 13:04:03	[任务2]滑块验证码效验完成，提交订单...

2020/9/1 星期二 13:04:03	[任务3]令牌获取完成,开始效验订单...

2020/9/1 星期二 13:04:04	[任务4]目前排队人数已经超过余票张数

2020/9/1 星期二 13:04:04	[小黑屋]该数据为缓存,将G6309车次(O)放入小黑屋300秒...

2020/9/1 星期二 13:04:04	开始查询2020-09-30车次，间隔：1000

2020/9/1 星期二 13:04:04	开始预订G6329车次的车票...

2020/9/1 星期二 13:04:04	[普通]线程启动完成,开始解析算法...

2020/9/1 星期二 13:04:04	[任务1]算法解析完成,开始申请订单...

2020/9/1 星期二 13:04:04	[任务2]申请订单成功,开始获取令牌...

2020/9/1 星期二 13:04:04	[任务2]当前需要滑块验证码，正在执行...

2020/9/1 星期二 13:04:05	[滑块]已打开浏览器，请在浏览器中操作滑块！

